Station ID,Station Name,,Latitude,Longitude,Elevation,Start date,End date,Country
CD000001,IBO,,-12.33,40.6,,01/01/1910,31/12/9999,MOZAMBIQUE
CD000011,MACOMIA,,-12.25,40.13,343,09/01/1932,31/05/1977,MOZAMBIQUE
CD000012,MAUNDA,,-11.62,39.5,860,10/01/1932,30/05/1939,MOZAMBIQUE
CD000013,MOCIMBOA DA PRAIA,,-11.35,40.37,27,10/01/1932,31/12/9999,MOZAMBIQUE
CD000014,MONTEPUEZ,,-13.13,39.03,534,10/01/1932,31/12/9999,MOZAMBIQUE
CD000016,MURREBUE,,-13.1,40.53,60,01/01/1933,30/09/1947,MOZAMBIQUE
CD000020,QUISSANGA,,-12.43,40.4,42,08/01/1937,28/02/1981,MOZAMBIQUE
CD000022,MECUFI,,-13.28,40.57,10,01/01/1938,31/12/9999,MOZAMBIQUE
CD000024,MUEDA,,-11.67,39.55,847,06/01/1939,31/08/1974,MOZAMBIQUE
CD000028,PALMA,,-10.77,40.5,60,10/01/1941,28/02/1979,MOZAMBIQUE
CD000034,PEMBA,,-12.98,40.53,101,10/01/1947,31/12/9999,MOZAMBIQUE
CD000042,CUERO,,-12.55,39.63,323,01/01/1955,31/10/1962,MOZAMBIQUE
CD000043,MOCIMBOA DO ROVUMA,,-11.42,39.17,453,01/01/1955,30/09/1964,MOZAMBIQUE
CD000044,MUIDUMBE,,-11.78,39.92,502,01/01/1955,30/11/1964,MOZAMBIQUE
CD000045,NAMARA-BALAMA,,-13.35,38.57,597,01/01/1955,31/12/9999,MOZAMBIQUE
CD000046,NAMUNO,,-13,38,495,01/01/1955,31/12/9999,MOZAMBIQUE
CD000048,ANCUABE,,-12.97,39.87,349,01/01/1956,30/11/1987,MOZAMBIQUE
CD000049,MELOCO,,-13.48,39.17,438,01/01/1956,31/10/1978,MOZAMBIQUE
CD000050,NAIROTO,,-12.4,39.1,311,01/01/1956,30/04/1983,MOZAMBIQUE
CD000051,NANRIPO,,-14.12,38.8,999.9,01/01/1956,30/04/1978,MOZAMBIQUE
CD000052,BILIBIZA,,-12.57,40.28,32,01/01/1956,31/01/1971,MOZAMBIQUE
CD000058,NANGADE,,-11.07,39.67,260,10/01/1971,31/07/1974,MOZAMBIQUE
CD000061,MEZA,,-13.03,39.53,999.9,01/01/1974,30/04/1981,MOZAMBIQUE
CD000062,PEMBA MITUNGE,,,,,,,MOZAMBIQUE
CD000063,CHIVURE,,,,,,,MOZAMBIQUE
CD000064,PEMBA AWS,,-12.95,40.48,53,,,MOZAMBIQUE
CD000065,MOCIMBOA DA PRAIA AWS ,,-11.35,40.37,27,,,MOZAMBIQUE
CD000066,MUEDA AWS (NESA),67208,-11.67,39.55,847,,,MOZAMBIQUE
GZ008001,CHICOMO,,-24.38,34.58,4,01/01/1910,31/12/9999,MOZAMBIQUE
GZ008003,BARRA DO LIMPOPO,,-25.18,33.5,80,01/01/1911,31/12/1945,MOZAMBIQUE
GZ008005,CANICADO-GUIJA,,-24.33,33.08,33,01/01/1912,31/12/1960,MOZAMBIQUE
GZ008007,MANJACAZE,,-24.72,33.88,65,02/01/1914,31/12/9999,MOZAMBIQUE
GZ008008,CHIBUTO,,-24,33,90,03/01/1914,31/12/9999,MOZAMBIQUE
GZ008010,MACIA,,-25.03,33.1,56,01/01/1915,31/12/9999,MOZAMBIQUE
GZ008011,MASSINGIR,,-25.88,32.15,100,01/01/1915,31/12/9999,MOZAMBIQUE
GZ008022,PAFURI,,-22.45,31.33,215,11/01/1932,31/01/1976,MOZAMBIQUE
GZ008032,XAI-XAI,67335,-25.05,33.63,4,02/01/1948,31/12/9999,MOZAMBIQUE
GZ008034,CHONGOENE,,-25,33.78,67,01/01/1949,30/11/1962,MOZAMBIQUE
GZ008035,MANIQUENIQUE,,-24.73,33.53,13,01/01/1949,31/12/9999,MOZAMBIQUE
GZ008042,MAPAI,,-22.07,32.05,254,01/01/1951,30/09/1976,MOZAMBIQUE
GZ008045,PRAIA DO BILENE,,-25.28,33.25,20,09/01/1958,31/12/9999,MOZAMBIQUE
GZ008048,MASSANGENA,,-21.55,32.97,136,09/01/1960,30/09/1976,MOZAMBIQUE
GZ008050,CHOKWE,,-24.52,33,33,01/01/1961,31/12/9999,MOZAMBIQUE
GZ008051,CHIGUBO,,-22.83,33.52,102,08/01/1961,06/03/1978,MOZAMBIQUE
GZ008052,CHICUALACUALA,,-22.08,31.68,452,09/01/1961,31/12/9999,MOZAMBIQUE
