country,first_degree,other_degree,n_stats_courses,stats_courses_view,numeric_examples,n_columns,n_rows,use_spreadsheet,use_package,today,start,X_id,X_uuid,X_submission_time,deviceid
nigeria,statistics,,29,Much more on inferential,not_much,5,100,yes_occasionally,yes_occasionally,2018-11-10,2018-11-10T10:15:07.676+01,17575099,12743737-e68a-429b-903d-b344fcdceeaf,2018-11-10T09:24:49,359991082752566
drc,computer_science,,2,"For me the statistic Cours is the science for studies the comportment of individus, do the analysis and give the prevision for the best decision",yes,5,50,yes_occasionally,yes_occasionally,2018-11-10,2018-11-10T10:06:12.119+01,17575097,cf96f8f1-412c-438d-9780-a2683923bba2,2018-11-10T09:24:47,359991082752566
madagascar,telecommunication,,3,very interesting,not_much,1000,1000,yes_occasionally,no,2018-11-10,2018-11-10T09:09:57.583+01,17575095,b34f156c-556d-4a86-b9bc-5d026a07b5d9,2018-11-10T09:24:45,359991082752566
cameroom,physics,,1,Le contenu donne juste de prérequis pour la statistiques.,no,,,no,no,2018-11-10,2018-11-10T09:05:42.442+01,17575094,40459392-10a6-4113-a3da-596a8038bc3a,2018-11-10T09:24:43,359991082752566
cameroom,mathematics_and_computer_science,,2,Mostly theoritical and very little links to practical applications,not_much,4,300,yes_occasionally,yes_occasionally,2018-11-10,2018-11-10T09:03:30.281+01,17575092,5f27ebf5-0610-477f-82ce-57a03ab7dfc7,2018-11-10T09:24:41,359991082752566
nigeria,mathematical_science,,4,"Probability and its Distributions, Regression and Estimation, and Statistical Inference",not_much,4,15,yes_occasionally,no,2018-11-10,2018-11-10T09:01:28.242+01,17575090,ec26a67a-51a8-4a7a-8c4a-75b7cae41775,2018-11-10T09:24:38,359991082752566
cameroom,mathematics,,2,I found it interesting because it clearly show us how we can use statistic in our daily live though we did not experiment it on a concrete example,yes,2,20,no,no,2018-11-10,2018-11-10T07:54:47.115+01,17575089,3806d19e-08ea-4e6f-9057-27c02b67128c,2018-11-10T09:24:35,359991082752566
cameroom,mathematics,,2,This course is very important because l'm a leader of civil society organisation who with indigenous peoples. In this particular case with collect data.,yes,2,10,no,no,2018-11-10,2018-11-10T07:38:44.461+01,17575087,45f6bdaa-7f06-40c1-808f-fc73cc2186fa,2018-11-10T09:24:33,359991082752566
cameroom,applied_mathematics,,1,"Probability course help to solve some problems in the live ,even in other field in mathematic",no,,,no,no,2018-11-10,2018-11-10T07:33:06.577+01,17575083,61300131-3f7f-49b5-a911-62ec62b69657,2018-11-10T09:24:30,359991082752566
ghana,mathematics,,4,"It was a very interesting course, using regression models to solve real life problems",not_much,6,21,yes_occasionally,yes_occasionally,2018-11-10,2018-11-10T07:13:38.480+01,17575082,52b882c4-5a9e-4b17-ab7e-868f0150f62e,2018-11-10T09:24:19,359991082752566
